colour	x	y	clickSelects	showSelected1	fill
#F8766D	-0.0326036490515386	-0.01933379649975	1	1	#F8766D
#E58700	0.0552461855419139	-0.0849754740333862	2	1	#E58700
#C99800	-0.067494384395583	0.00584654978495017	3	1	#C99800
#A3A500	0.0214359459043426	-0.0817670355875958	4	1	#A3A500
#6BB100	0.0310769217313602	-0.205030781563963	5	1	#6BB100
#00BA38	0.11739662875627	-0.0163755665941423	6	1	#00BA38
#00BF7D	0.0618789855625968	0.0708522104156376	7	1	#00BF7D
#00C0AF	-0.0112734314754215	-0.0267980546181617	8	1	#00C0AF
#00BCD8	0.0917028289512712	-0.146392175987102	9	1	#00BCD8
#00B0F6	-0.0223259364627263	0.0744435822875318	10	1	#00B0F6
#619CFF	0.0526448098873642	-0.14103901810052	11	1	#619CFF
#B983FF	-0.0794844435415055	0.0467067606015246	12	1	#B983FF
#E76BF3	0.142775554468304	-0.0119320107694245	13	1	#E76BF3
#FD61D1	-0.146681969416347	0.0467238961765515	14	1	#FD61D1
#FF67A4	-0.0236683378602896	0.0498135564435914	15	1	#FF67A4
#F8766D	0.0121432109754812	-0.00537619667906288	1	2	#F8766D
#E58700	0.105639473057626	-0.188630798562076	2	2	#E58700
#C99800	-0.00800171520644065	-0.0303721611335485	3	2	#C99800
#A3A500	0.0298351345217865	-0.0357502776585536	4	2	#A3A500
#6BB100	-0.0525033188697857	-0.182607328083248	5	2	#6BB100
#00BA38	0.141519569249208	0.0215351225258079	6	2	#00BA38
#00BF7D	-0.0540873828857775	0.0478769714058301	7	2	#00BF7D
#00C0AF	-0.066542614824385	-0.0066516409478469	8	2	#00C0AF
#00BCD8	0.120149574843474	-0.181696340108583	9	2	#00BCD8
#00B0F6	-0.0368304677535046	0.000249678707253884	10	2	#00B0F6
#619CFF	-0.00486795417570409	-0.154762576191343	11	2	#619CFF
#B983FF	-0.050589393398447	-0.0231383717273268	12	2	#B983FF
#E76BF3	0.180228440276543	-0.0644913456155723	13	2	#E76BF3
#FD61D1	-0.138412925885061	0.103214352201313	14	2	#FD61D1
#FF67A4	0.0350177853514963	0.0284203948510704	15	2	#FF67A4
#F8766D	-0.000846894416492518	-0.0759348488618971	1	3	#F8766D
#E58700	0.0735715953535435	-0.183007923104453	2	3	#E58700
#C99800	0.0131285013504875	-0.0110303965727648	3	3	#C99800
#A3A500	-0.00455478178231448	-0.0283051532254034	4	3	#A3A500
#6BB100	-0.0553858062939105	-0.186348496329367	5	3	#6BB100
#00BA38	0.217014441155147	0.102531972922804	6	3	#00BA38
#00BF7D	0.00357052546346236	0.0439967916333976	7	3	#00BF7D
#00C0AF	-0.157489339864284	-0.0585238700846502	8	3	#00C0AF
#00BCD8	0.13527418712566	-0.245593648470902	9	3	#00BCD8
#00B0F6	-0.029913515374256	-0.00229952748079891	10	3	#00B0F6
#619CFF	0.0877394245708073	-0.0991788127144518	11	3	#619CFF
#B983FF	-0.076158159486739	-0.0503324269181898	12	3	#B983FF
#E76BF3	0.0937820760947951	-0.0409538686680077	13	3	#E76BF3
#FD61D1	-0.138143569776472	0.17061664147895	14	3	#FD61D1
#FF67A4	0.071222621016465	0.1060478530842	15	3	#FF67A4
#F8766D	0.065426597169619	-0.077648103486557	1	4	#F8766D
#E58700	0.0555209254706554	-0.219016194219869	2	4	#E58700
#C99800	0.0272292480188626	-0.0505566797509541	3	4	#C99800
#A3A500	-0.0268000093187483	0.0399445052435317	4	4	#A3A500
#6BB100	-0.030513089379166	-0.227068320121433	5	4	#6BB100
#00BA38	0.230417733017189	0.0729215573730245	6	4	#00BA38
#00BF7D	0.110244843325928	0.102634224981741	7	4	#00BF7D
#00C0AF	-0.120151290401296	-0.070049304747619	8	4	#00C0AF
